"Ensembl.Gene.ID" "Gene.Symbol" "Biotype" "Comparison" "logFC" "FDR"
"ENSG00000103888" "CEMIP" "protein_coding" "Crohn vs Control" 5.77949160271816 1.67904750664377e-05
"ENSG00000172023" "REG1B" "protein_coding" "Crohn vs Control" 8.9076169475143 1.8971034233753e-05
"ENSG00000129048" "ACKR4" "protein_coding" "Crohn vs Control" 4.19544027999208 2.0425952536955e-05
"ENSG00000179344" "HLA-DQB1" "protein_coding" "Crohn vs Control" 2.92355213412673 2.23503877074265e-05
"ENSG00000102096" "PIM2" "protein_coding" "Crohn vs Control" 3.29090297770073 2.3831669745374e-05
"ENSG00000060566" "CREB3L3" "protein_coding" "Crohn vs Control" -4.97924402374733 2.45614648816883e-05
"ENSG00000136244" "IL6" "protein_coding" "Crohn vs Control" 7.28427664853892 2.49162906763144e-05
"ENSG00000140749" "IGSF6" "protein_coding" "Crohn vs Control" 3.93962890546814 2.49962635614867e-05
"ENSG00000164400" "CSF2" "protein_coding" "Crohn vs Control" 10.0586372471645 2.5776244981288e-05
"ENSG00000111537" "IFNG" "protein_coding" "Crohn vs Control" 7.76649295936037 2.84932420797048e-05
"ENSG00000016391" "CHDH" "protein_coding" "Crohn vs Control" -2.50789123641735 3.30889647382104e-05
"ENSG00000158869" "FCER1G" "protein_coding" "Crohn vs Control" 3.22946977135313 3.619971034723e-05
"ENSG00000198959" "TGM2" "protein_coding" "Crohn vs Control" 4.32037410085551 4.37748886098463e-05
"ENSG00000169429" "CXCL8" "protein_coding" "Crohn vs Control" 7.22336573657213 4.54498062457521e-05
"ENSG00000187908" "DMBT1" "protein_coding" "Crohn vs Control" 4.74490452498897 4.81683343920006e-05
"ENSG00000134013" "LOXL2" "protein_coding" "Crohn vs Control" 3.92276627917152 4.9238017653685e-05
"ENSG00000196352" "CD55" "protein_coding" "Crohn vs Control" 3.13752411237743 5.16310422575453e-05
"ENSG00000172927" "MYEOV" "protein_coding" "Crohn vs Control" 3.55773917734539 5.16310422575453e-05
"ENSG00000170525" "PFKFB3" "protein_coding" "Crohn vs Control" 3.16027122471215 5.58386519042043e-05
"ENSG00000148600" "CDHR1" "protein_coding" "Crohn vs Control" -2.44601765478108 6.06308433182766e-05
"ENSG00000248323" "LUCAT1" "lncRNA" "Crohn vs Control" 6.00827507584591 6.24213282233306e-05
"ENSG00000041982" "TNC" "protein_coding" "Crohn vs Control" 4.43769282799399 6.24213282233306e-05
"ENSG00000187498" "COL4A1" "protein_coding" "Crohn vs Control" 4.05684868924499 6.34550526934339e-05
"ENSG00000122641" "INHBA" "protein_coding" "Crohn vs Control" 6.75313266336471 6.34550526934339e-05
"ENSG00000277632" "CCL3" "protein_coding" "Crohn vs Control" 4.35688197561942 6.34550526934339e-05
"ENSG00000159167" "STC1" "protein_coding" "Crohn vs Control" 5.15444109188292 6.34550526934339e-05
"ENSG00000099985" "OSM" "protein_coding" "Crohn vs Control" 7.15407429285852 6.51241119886019e-05
"ENSG00000100453" "GZMB" "protein_coding" "Crohn vs Control" 4.45587223468674 6.51241119886019e-05
"ENSG00000128284" "APOL3" "protein_coding" "Crohn vs Control" 2.73201939167913 7.0547844309666e-05
"ENSG00000131042" "LILRB2" "protein_coding" "Crohn vs Control" 3.73029757946356 7.26854244082596e-05
"ENSG00000111335" "OAS2" "protein_coding" "Crohn vs Control" 3.12832186973879 7.26854244082596e-05
"ENSG00000166741" "NNMT" "protein_coding" "Crohn vs Control" 3.71767143538994 7.32187126301064e-05
"ENSG00000196091" "MYBPC1" "protein_coding" "Crohn vs Control" -4.74435371524628 7.3562784370725e-05
"ENSG00000138755" "CXCL9" "protein_coding" "Crohn vs Control" 5.50919263271989 9.28564800820224e-05
"ENSG00000142089" "IFITM3" "protein_coding" "Crohn vs Control" 2.98947331411734 9.67901914121499e-05
"ENSG00000105971" "CAV2" "protein_coding" "Crohn vs Control" 2.7521163219988 9.7212631695642e-05
"ENSG00000142871" "CCN1" "protein_coding" "Crohn vs Control" 3.72653038371366 9.7212631695642e-05
"ENSG00000182782" "HCAR2" "protein_coding" "Crohn vs Control" 5.89751578600554 0.000101824716487471
"ENSG00000159871" "LYPD5" "protein_coding" "Crohn vs Control" 5.08101881468881 0.000102071126517714
"ENSG00000276070" "CCL4L2" "protein_coding" "Crohn vs Control" 3.74498799323385 0.000114393094330326
"ENSG00000068366" "ACSL4" "protein_coding" "Crohn vs Control" 3.64885070351548 0.000121298466127188
"ENSG00000117594" "HSD11B1" "protein_coding" "Crohn vs Control" 6.59483188180789 0.000128170285001597
"ENSG00000185885" "IFITM1" "protein_coding" "Crohn vs Control" 2.63121848407955 0.000129251797400005
"ENSG00000128242" "GAL3ST1" "protein_coding" "Crohn vs Control" -2.93305520347345 0.000141182835619881
"ENSG00000162892" "IL24" "protein_coding" "Crohn vs Control" 11.5598801098823 0.000142425873128306
"ENSG00000114251" "WNT5A" "protein_coding" "Crohn vs Control" 3.80196738111126 0.000142425873128306
"ENSG00000112115" "IL17A" "protein_coding" "Crohn vs Control" 5.86601406265271 0.000151582885606353
"ENSG00000008513" "ST3GAL1" "protein_coding" "Crohn vs Control" 2.93911420475159 0.000154311777968557
"ENSG00000007908" "SELE" "protein_coding" "Crohn vs Control" 5.69798035568057 0.000154311777968557
"ENSG00000138435" "CHRNA1" "protein_coding" "Crohn vs Control" -3.97840894759178 0.000154311777968557
"ENSG00000196611" "MMP1" "protein_coding" "Crohn vs Control" 6.42338571398877 0.000155261966074579
"ENSG00000090104" "RGS1" "protein_coding" "Crohn vs Control" 2.75599455430932 0.000161138690134501
"ENSG00000286318" "ENSG00000286318" "lncRNA" "Crohn vs Control" 5.77947797251688 0.000161378455572642
"ENSG00000102794" "ACOD1" "protein_coding" "Crohn vs Control" 8.78403595675444 0.000165806305273781
"ENSG00000203747" "FCGR3A" "protein_coding" "Crohn vs Control" 4.01537075397977 0.000166761509073382
"ENSG00000183844" "FAM3B" "protein_coding" "Crohn vs Control" 7.8172371697585 0.000177221379841836
"ENSG00000060558" "GNA15" "protein_coding" "Crohn vs Control" 4.10102059555194 0.000178138467636215
"ENSG00000151790" "TDO2" "protein_coding" "Crohn vs Control" 4.00317346918323 0.000179653284490249
"ENSG00000103257" "SLC7A5" "protein_coding" "Crohn vs Control" 2.89115219748229 0.000179653284490249
"ENSG00000177409" "SAMD9L" "protein_coding" "Crohn vs Control" 2.4169599502376 0.000179653284490249
"ENSG00000120708" "TGFBI" "protein_coding" "Crohn vs Control" 3.14741366020047 0.000179653284490249
"ENSG00000171385" "KCND3" "protein_coding" "Crohn vs Control" 3.63110110001448 0.000188655909094431
"ENSG00000188820" "CALHM6" "protein_coding" "Crohn vs Control" 5.79953288855204 0.000188655909094431
"ENSG00000120217" "CD274" "protein_coding" "Crohn vs Control" 3.531527181516 0.000227524079015517
"ENSG00000122862" "SRGN" "protein_coding" "Crohn vs Control" 2.63700305304247 0.000229123775573063
"ENSG00000115919" "KYNU" "protein_coding" "Crohn vs Control" 4.42539590633119 0.000229917299808521
"ENSG00000105825" "TFPI2" "protein_coding" "Crohn vs Control" 10.0658891595515 0.00023534631327007
"ENSG00000124875" "CXCL6" "protein_coding" "Crohn vs Control" 7.63378489168002 0.000244470597880731
"ENSG00000114113" "RBP2" "protein_coding" "Crohn vs Control" -4.58668285225831 0.000247837015150472
"ENSG00000175040" "CHST2" "protein_coding" "Crohn vs Control" 3.06683040269774 0.000263796060983179
"ENSG00000101825" "MXRA5" "protein_coding" "Crohn vs Control" 3.18035889976622 0.000271016777554532
"ENSG00000128965" "CHAC1" "protein_coding" "Crohn vs Control" 3.08621279574011 0.00028401558489901
"ENSG00000213886" "UBD" "protein_coding" "Crohn vs Control" 4.63942206091323 0.000288663221771629
"ENSG00000135046" "ANXA1" "protein_coding" "Crohn vs Control" 3.4680746889961 0.000310595106701232
"ENSG00000140511" "HAPLN3" "protein_coding" "Crohn vs Control" 3.56001546601629 0.000318033596704727
"ENSG00000179750" "APOBEC3B" "protein_coding" "Crohn vs Control" -5.81671692335301 0.000358280154607324
"ENSG00000050767" "COL23A1" "protein_coding" "Crohn vs Control" 3.59404421387526 0.000369076719989065
"ENSG00000163430" "FSTL1" "protein_coding" "Crohn vs Control" 3.00358307832215 0.000369076719989065
"ENSG00000163563" "MNDA" "protein_coding" "Crohn vs Control" 3.86855593266966 0.000381133932718208
"ENSG00000204577" "LILRB3" "protein_coding" "Crohn vs Control" 4.43803830245783 0.000388580381385223
"ENSG00000137745" "MMP13" "protein_coding" "Crohn vs Control" 8.31781970280511 0.000404636252206125
"ENSG00000177989" "ODF3B" "protein_coding" "Crohn vs Control" 2.80716460681324 0.000413048196202912
"ENSG00000148175" "STOM" "protein_coding" "Crohn vs Control" 2.81530502812062 0.000422415847045285
"ENSG00000106991" "ENG" "protein_coding" "Crohn vs Control" 3.00359006750891 0.000428713443691992
"ENSG00000140105" "WARS1" "protein_coding" "Crohn vs Control" 4.53956823145845 0.000433274257588078
"ENSG00000129988" "LBP" "protein_coding" "Crohn vs Control" 8.51056461907026 0.000460966564631467
"ENSG00000108691" "CCL2" "protein_coding" "Crohn vs Control" 3.85856662954686 0.000545135288382508
"ENSG00000133048" "CHI3L1" "protein_coding" "Crohn vs Control" 6.68961452840646 0.000553596937540742
"ENSG00000198785" "GRIN3A" "protein_coding" "Crohn vs Control" 3.42120704947056 0.000553596937540742
"ENSG00000170476" "MZB1" "protein_coding" "Crohn vs Control" 2.79908200186013 0.000556589034238171
"ENSG00000272636" "DOC2B" "protein_coding" "Crohn vs Control" 4.06378725705639 0.000580958584932449
"ENSG00000198355" "PIM3" "protein_coding" "Crohn vs Control" 2.1990059603741 0.000583529837872153
"ENSG00000158764" "ITLN2" "protein_coding" "Crohn vs Control" 5.98141503882321 0.000585433157287159
"ENSG00000271392" "ENSG00000271392" "lncRNA" "Crohn vs Control" -7.03567557239257 0.000585433157287159
"ENSG00000100368" "CSF2RB" "protein_coding" "Crohn vs Control" 2.7538689549074 0.000585433157287159
"ENSG00000140274" "DUOXA2" "protein_coding" "Crohn vs Control" 5.41723063564923 0.000586766393697828
"ENSG00000137265" "IRF4" "protein_coding" "Crohn vs Control" 2.83825094486235 0.000586766393697828
"ENSG00000204397" "CARD16" "protein_coding" "Crohn vs Control" 2.15852692257738 0.000589540577704738
"ENSG00000166396" "SERPINB7" "protein_coding" "Crohn vs Control" 9.43348995645695 0.000589540577704738
"ENSG00000175592" "FOSL1" "protein_coding" "Crohn vs Control" 4.6855604848068 0.000589540577704738
"ENSG00000114270" "COL7A1" "protein_coding" "Crohn vs Control" 5.06549763575788 0.000594006240098052
"ENSG00000153902" "LGI4" "protein_coding" "Crohn vs Control" -3.2675542654018 0.000603046977365486
"ENSG00000006118" "TMEM132A" "protein_coding" "Crohn vs Control" 4.03751080330988 0.00061564832636343
"ENSG00000169248" "CXCL11" "protein_coding" "Crohn vs Control" 5.98636733367578 0.0006321938619026
"ENSG00000122121" "XPNPEP2" "protein_coding" "Crohn vs Control" -5.1910685959595 0.000633928484437208
"ENSG00000110799" "VWF" "protein_coding" "Crohn vs Control" 3.04927445277019 0.000633928484437208
"ENSG00000152782" "PANK1" "protein_coding" "Crohn vs Control" -2.29377705314795 0.000636907142419607
"ENSG00000115415" "STAT1" "protein_coding" "Crohn vs Control" 2.52013733863571 0.000636907142419607
"ENSG00000123843" "C4BPB" "protein_coding" "Crohn vs Control" 3.40603398252437 0.000636907142419607
"ENSG00000104951" "IL4I1" "protein_coding" "Crohn vs Control" 3.25452604914695 0.000636907142419607
"ENSG00000181104" "F2R" "protein_coding" "Crohn vs Control" 2.91426721819907 0.000636907142419607
"ENSG00000136859" "ANGPTL2" "protein_coding" "Crohn vs Control" 4.05653831610794 0.000641563747838272
"ENSG00000157168" "NRG1" "protein_coding" "Crohn vs Control" 3.33622857801127 0.000658094268273037
"ENSG00000158714" "SLAMF8" "protein_coding" "Crohn vs Control" 3.06746624379413 0.000658094268273037
"ENSG00000178752" "ERFE" "protein_coding" "Crohn vs Control" 7.4488729118732 0.000668063822449931
"ENSG00000185880" "TRIM69" "protein_coding" "Crohn vs Control" 2.28004714242953 0.000678065709689579
"ENSG00000180535" "BHLHA15" "protein_coding" "Crohn vs Control" 3.62065216557504 0.00076173728405315
"ENSG00000172689" "MS4A10" "protein_coding" "Crohn vs Control" -5.71579932162637 0.000770501222666198
"ENSG00000078081" "LAMP3" "protein_coding" "Crohn vs Control" 3.35913155015487 0.000782759510729197
"ENSG00000007171" "NOS2" "protein_coding" "Crohn vs Control" 5.6698632820001 0.00080583624623305
"ENSG00000174600" "CMKLR1" "protein_coding" "Crohn vs Control" 3.03181676056088 0.00080812200728894
"ENSG00000119508" "NR4A3" "protein_coding" "Crohn vs Control" 3.797615393287 0.000829256325723217
"ENSG00000008516" "MMP25" "protein_coding" "Crohn vs Control" 3.30207163921456 0.000845762705075469
"ENSG00000130303" "BST2" "protein_coding" "Crohn vs Control" 2.46756483552678 0.000845762705075469
"ENSG00000117525" "F3" "protein_coding" "Crohn vs Control" 2.58435903906032 0.000845762705075469
"ENSG00000164111" "ANXA5" "protein_coding" "Crohn vs Control" 2.46504517770051 0.000879843958815373
"ENSG00000165188" "RNF183" "protein_coding" "Crohn vs Control" 5.01481509831083 0.000908628460542724
"ENSG00000166750" "SLFN5" "protein_coding" "Crohn vs Control" 2.15154408698557 0.000908748959136084
"ENSG00000062524" "LTK" "protein_coding" "Crohn vs Control" -2.39607050796538 0.000916297027582521
"ENSG00000255398" "HCAR3" "protein_coding" "Crohn vs Control" 6.03442612890329 0.000916297027582521
"ENSG00000259347" "ENSG00000259347" "lncRNA" "Crohn vs Control" -4.60015352209131 0.000916297027582521
"ENSG00000145040" "UCN2" "protein_coding" "Crohn vs Control" 7.5385644418513 0.000956578279796126
"ENSG00000205846" "CLEC6A" "protein_coding" "Crohn vs Control" 5.78086021180621 0.000956578279796126
"ENSG00000285294" "LINC00842" "lncRNA" "Crohn vs Control" -5.25732411561463 0.000956993236010003
"ENSG00000204099" "NEU4" "protein_coding" "Crohn vs Control" -2.0050236914196 0.000956993236010003
"ENSG00000170909" "OSCAR" "protein_coding" "Crohn vs Control" 4.4505896425056 0.000957797592274157
"ENSG00000183018" "SPNS2" "protein_coding" "Crohn vs Control" 2.58356839689106 0.000973144344353148
"ENSG00000087116" "ADAMTS2" "protein_coding" "Crohn vs Control" 3.7931295857025 0.000996742667475536
"ENSG00000180871" "CXCR2" "protein_coding" "Crohn vs Control" 6.52386507843294 0.000996742667475536
"ENSG00000142748" "FCN3" "protein_coding" "Crohn vs Control" 5.21090957680571 0.0010255838267951
"ENSG00000101336" "HCK" "protein_coding" "Crohn vs Control" 2.33808227829597 0.00112518592162812
"ENSG00000137507" "LRRC32" "protein_coding" "Crohn vs Control" 2.98510033469292 0.00112577299234284
"ENSG00000095752" "IL11" "protein_coding" "Crohn vs Control" 6.7089286815407 0.00113362356866957
"ENSG00000100311" "PDGFB" "protein_coding" "Crohn vs Control" 3.61750867614846 0.00113423809592969
"ENSG00000124256" "ZBP1" "protein_coding" "Crohn vs Control" 3.18745763450621 0.00113423809592969
"ENSG00000150337" "FCGR1A" "protein_coding" "Crohn vs Control" 5.03939901994307 0.00116243867295163
"ENSG00000164175" "SLC45A2" "protein_coding" "Crohn vs Control" -4.61134885285957 0.00117683276249712
"ENSG00000119917" "IFIT3" "protein_coding" "Crohn vs Control" 2.92526336907328 0.0011828885941581
"ENSG00000275063" "ENSG00000275063" "protein_coding" "Crohn vs Control" 6.4167842732676 0.00118478775802147
"ENSG00000253838" "ENSG00000253838" "lncRNA" "Crohn vs Control" 7.7682655907859 0.00118478775802147
"ENSG00000115594" "IL1R1" "protein_coding" "Crohn vs Control" 2.37549142918127 0.00118478775802147
"ENSG00000166278" "C2" "protein_coding" "Crohn vs Control" 3.41907205137631 0.00118478775802147
"ENSG00000143226" "FCGR2A" "protein_coding" "Crohn vs Control" 3.64304821573305 0.00118478775802147
"ENSG00000224397" "PELATON" "lncRNA" "Crohn vs Control" 3.89203603128724 0.00123586073890459
"ENSG00000157551" "KCNJ15" "protein_coding" "Crohn vs Control" 5.98454231211813 0.00127594778959248
"ENSG00000043462" "LCP2" "protein_coding" "Crohn vs Control" 2.00665316670506 0.00128412887995432
"ENSG00000118520" "ARG1" "protein_coding" "Crohn vs Control" -6.86922237671533 0.00128412887995432
"ENSG00000148965" "SAA4" "protein_coding" "Crohn vs Control" 7.49523156633954 0.00131619259979455
"ENSG00000133687" "TMTC1" "protein_coding" "Crohn vs Control" 3.17496356646536 0.00132257538125886
"ENSG00000159261" "CLDN14" "protein_coding" "Crohn vs Control" 6.41309106024693 0.00133810266611396
"ENSG00000249806" "ENSG00000249806" "lncRNA" "Crohn vs Control" 5.30634190783043 0.00134397511275359
"ENSG00000185201" "IFITM2" "protein_coding" "Crohn vs Control" 2.23472729517815 0.00135393372952233
"ENSG00000130775" "THEMIS2" "protein_coding" "Crohn vs Control" 2.59772263766206 0.00135393372952233
"ENSG00000123610" "TNFAIP6" "protein_coding" "Crohn vs Control" 5.07886145373482 0.00137252380565339
"ENSG00000139329" "LUM" "protein_coding" "Crohn vs Control" 2.85796020056614 0.00137879425332677
"ENSG00000169403" "PTAFR" "protein_coding" "Crohn vs Control" 2.68095708967785 0.00139519855160009
"ENSG00000171049" "FPR2" "protein_coding" "Crohn vs Control" 5.24762772112691 0.0014039505185916
"ENSG00000174827" "PDZK1" "protein_coding" "Crohn vs Control" -3.62833007162276 0.00140694541730022
"ENSG00000134830" "C5AR2" "protein_coding" "Crohn vs Control" 6.10325937645128 0.00141892402445732
"ENSG00000130508" "PXDN" "protein_coding" "Crohn vs Control" 3.37820891251106 0.0014702083555402
"ENSG00000285744" "ENSG00000285744" "lncRNA" "Crohn vs Control" 2.75439017653802 0.00152237505213141
"ENSG00000144837" "PLA1A" "protein_coding" "Crohn vs Control" 3.84487645302048 0.00152237505213141
"ENSG00000126262" "FFAR2" "protein_coding" "Crohn vs Control" 4.62030851999356 0.00152237505213141
"ENSG00000225614" "ZNF469" "protein_coding" "Crohn vs Control" 4.33797896688434 0.00152237505213141
"ENSG00000167680" "SEMA6B" "protein_coding" "Crohn vs Control" 3.44991573731855 0.00152360916404607
"ENSG00000149131" "SERPING1" "protein_coding" "Crohn vs Control" 2.79383660298585 0.00156133925247141
"ENSG00000249992" "TMEM158" "protein_coding" "Crohn vs Control" 3.77398405898017 0.00158134786365841
"ENSG00000140859" "KIFC3" "protein_coding" "Crohn vs Control" 2.9514843496575 0.00160678456211496
"ENSG00000148344" "PTGES" "protein_coding" "Crohn vs Control" 3.17990457916387 0.0016316889207114
"ENSG00000182307" "C8orf33" "protein_coding" "Crohn vs Control" -2.5751928549977 0.00170377215902524
"ENSG00000006210" "CX3CL1" "protein_coding" "Crohn vs Control" 3.55380045944527 0.001714896780289
"ENSG00000175318" "GRAMD2A" "protein_coding" "Crohn vs Control" 4.5598203909199 0.00172800092002564
"ENSG00000166523" "CLEC4E" "protein_coding" "Crohn vs Control" 5.08611621389675 0.00172800092002564
"ENSG00000169876" "MUC17" "protein_coding" "Crohn vs Control" -2.77679824266035 0.00172800092002564
"ENSG00000172215" "CXCR6" "protein_coding" "Crohn vs Control" 2.86768185842563 0.00172800092002564
"ENSG00000253686" "LINC01484" "lncRNA" "Crohn vs Control" 5.25552404773833 0.00173467627013411
"ENSG00000137673" "MMP7" "protein_coding" "Crohn vs Control" 6.03003254434016 0.00173467627013411
"ENSG00000261371" "PECAM1" "protein_coding" "Crohn vs Control" 2.78532962181939 0.00180569006349653
"ENSG00000186818" "LILRB4" "protein_coding" "Crohn vs Control" 3.4106223900167 0.00184878572966089
"ENSG00000100644" "HIF1A" "protein_coding" "Crohn vs Control" 1.90580907414619 0.00185009418018837
"ENSG00000185215" "TNFAIP2" "protein_coding" "Crohn vs Control" 2.4018201711545 0.00185631126770999
"ENSG00000137757" "CASP5" "protein_coding" "Crohn vs Control" 2.6855463991141 0.00185644072532792
"ENSG00000100219" "XBP1" "protein_coding" "Crohn vs Control" 2.17455257019364 0.00185644072532792
"ENSG00000170835" "CEL" "protein_coding" "Crohn vs Control" -5.04339269861192 0.00185916593515843
"ENSG00000161638" "ITGA5" "protein_coding" "Crohn vs Control" 2.81199751251526 0.00188068262793367
"ENSG00000163453" "IGFBP7" "protein_coding" "Crohn vs Control" 2.40617525598666 0.00188100434137243
"ENSG00000146070" "PLA2G7" "protein_coding" "Crohn vs Control" 3.89534962429528 0.00193123814896968
"ENSG00000211448" "DIO2" "protein_coding" "Crohn vs Control" 5.46807087657591 0.00193123814896968
"ENSG00000177706" "FAM20C" "protein_coding" "Crohn vs Control" 2.87040639796367 0.00194856864083094
"ENSG00000104415" "CCN4" "protein_coding" "Crohn vs Control" 4.1517540601709 0.00195958816782449
"ENSG00000243649" "CFB" "protein_coding" "Crohn vs Control" 3.04989660466677 0.00197672825252946
"ENSG00000265096" "C1QTNF1-AS1" "lncRNA" "Crohn vs Control" -4.27984383801632 0.00198281441083506
"ENSG00000087245" "MMP2" "protein_coding" "Crohn vs Control" 2.60270261936168 0.00199830519931035
"ENSG00000162747" "FCGR3B" "protein_coding" "Crohn vs Control" 5.60723329065769 0.00202158125849274
"ENSG00000164932" "CTHRC1" "protein_coding" "Crohn vs Control" 5.01753584212173 0.00202729806701455
"ENSG00000029153" "ARNTL2" "protein_coding" "Crohn vs Control" 3.37974528414615 0.00205287289213225
"ENSG00000130518" "IQCN" "protein_coding" "Crohn vs Control" -2.87726936304696 0.00212127201138248
"ENSG00000172965" "MIR4435-2HG" "lncRNA" "Crohn vs Control" 2.87674060006433 0.00217982990092167
"ENSG00000176171" "BNIP3" "protein_coding" "Crohn vs Control" 3.07380134903163 0.00217982990092167
"ENSG00000120875" "DUSP4" "protein_coding" "Crohn vs Control" 3.29954220007119 0.00217982990092167
"ENSG00000085662" "AKR1B1" "protein_coding" "Crohn vs Control" 2.87766125028451 0.00217982990092167
"ENSG00000163762" "TM4SF18" "protein_coding" "Crohn vs Control" 3.2139361095851 0.00219373877063515
"ENSG00000132530" "XAF1" "protein_coding" "Crohn vs Control" 2.10432219822735 0.00221834190746751
"ENSG00000249231" "CASC16" "lncRNA" "Crohn vs Control" -3.40612081210219 0.00225283523146545
"ENSG00000231298" "MANCR" "lncRNA" "Crohn vs Control" -2.89018187262142 0.00226568141817555
"ENSG00000166130" "IKBIP" "protein_coding" "Crohn vs Control" 2.57125085243932 0.00229899858709025
"ENSG00000166670" "MMP10" "protein_coding" "Crohn vs Control" 6.52680109738793 0.00231727974848229
"ENSG00000204291" "COL15A1" "protein_coding" "Crohn vs Control" 3.30288317969435 0.00238148756458479
"ENSG00000168209" "DDIT4" "protein_coding" "Crohn vs Control" 2.20580353523782 0.00241070438159213
"ENSG00000148346" "LCN2" "protein_coding" "Crohn vs Control" 3.69260870090641 0.00242842317590845
"ENSG00000007216" "SLC13A2" "protein_coding" "Crohn vs Control" -3.55452224402296 0.00242873573815353
"ENSG00000100336" "APOL4" "protein_coding" "Crohn vs Control" 3.00386699360052 0.00249523398483509
"ENSG00000159403" "C1R" "protein_coding" "Crohn vs Control" 2.45258654498093 0.00250490081552043
"ENSG00000187323" "DCC" "protein_coding" "Crohn vs Control" 4.21351793942812 0.00250490081552043
"ENSG00000123689" "G0S2" "protein_coding" "Crohn vs Control" 3.25594805779381 0.00253104656848007
"ENSG00000100625" "SIX4" "protein_coding" "Crohn vs Control" 4.77742247637285 0.00253104656848007
"ENSG00000187736" "NHEJ1" "protein_coding" "Crohn vs Control" -2.30844222694143 0.00259045816741978
"ENSG00000173110" "HSPA6" "protein_coding" "Crohn vs Control" 3.42715206695526 0.00259045816741978
"ENSG00000011600" "TYROBP" "protein_coding" "Crohn vs Control" 2.61289027878174 0.00259045816741978
"ENSG00000173535" "TNFRSF10C" "protein_coding" "Crohn vs Control" 4.79892576441596 0.00259045816741978
